App,Rating,Size,Installs,Category
TI-84 CE Graphing Calculator Manual TI 84,1.0,0.2699379447253017,9.9000000099e-08,C
Axe Champs! Wars,1.0,0.2499362445807894,4.9000000049000004e-08,C
Cy-Fair Christian Church,1.0,0.09292289844636795,9.9000000099e-08,C
Cy-Fair VFD EMS Protocols,1.0,0.1999319942195087,9.9000000099e-08,C
cx advance call blocker,1.0,0.0339178830200567,4.9000000049000004e-08,C
Oración CX,1.0,0.037918223048959164,4.999000004999e-06,C
Jigsaw Volvo FH 16 Trucks,1.0,0.08092187835966057,9.99000000999e-07,C
FH School,1.0,0.057919923193471445,9.9000000099e-08,C
Tozer Devotional -Series 1,1.0,0.04291864808508723,9.99000000999e-07,C
Food-Aw - Order Food Online in Aruba,1.0,0.23993539450853324,9.9000000099e-08,C
30WPM Amateur ham radio Koch CW Morse code trainer,1.0,0.03691813804173355,9.000000009000001e-09,C
Morse Player,1.0,0.02391703294780056,9.9000000099e-08,C
Flippy Axe : Flip The Knife & Axe Simulator,1.0,0.14992774385822796,9.9000000099e-08,C
CZ-Help,1.0,0.013916182875544423,4.000000004e-09,C
A-Y Collection,1.0,0.028917457983928634,9.9000000099e-08,C
Quran Khmer Offline AY,1.0,0.03991839306341039,9.99000000999e-07,C
Ra Ga Ba,1.0,0.1999319942195087,0.0,C
BC MVA Fines,1.0,0.07192111329463005,4.9000000049000004e-08,C
CT Checkout,1.0,0.08392213338133742,4.9000000049000004e-08,C
Dine In CT - Food Delivery,1.0,0.01591635288999565,9.99000000999e-07,C
Railroad Radio Vancouver BC,1.0,0.016916437897221262,9.9000000099e-08,C
CARDIAC CT TECHNIQUE,1.0,0.16992944400274027,9.99000000999e-07,C
CT Cervical Spine,1.0,0.16992944400274027,9.99000000999e-07,C
iCard BD Plus,1.0,0.02391703294780056,4.99000000499e-07,C
Jobs in Canada - Emplois au Canada,1.0,0.1399268937859718,9.99000000999e-07,C
CZ Kompas,1.0,0.034917968027282316,9.000000009000001e-09,C
"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",1.0,0.022916947940574948,9.99000000999e-07,C
AC DC Power Monitor,1.0,0.011916012861093193,9.000000009000001e-09,C
DG OFF - 100% Free Coupons & Deals,1.0,0.01091592785386758,9.000000009000001e-09,C
Free coupons and vouchers,1.0,0.05892000820069706,9.9000000099e-08,C
DG-App,1.0,0.04491881809953846,4.99000000499e-07,C
DF Glue Board,1.0,0.2699379447253017,9.000000009000001e-09,C
The Divine Feminine App: the DF App,1.0,0.06692068825850198,9.99000000999e-07,C
Comunidad De Fe Minitries,1.0,0.10992434356920339,4.99000000499e-07,C
Mindvalley U Tallinn 2018,1.0,0.20993284429176481,9.9000000099e-08,C
AP® Guide,1.0,0.02091677792612372,9.99000000999e-07,C
Prosperity,1.0,0.022916947940574948,9.9000000099e-08,C
SUMMER SONIC app,1.0,0.6099668471820104,4.99000000499e-07,C
DC-014,1.0,0.15992859393048411,4.99000000499e-07,C
DB HOME,1.0,0.031917713005605475,9.9000000099e-08,C
Safe Santa Fe,1.0,0.11992519364145952,9.99000000999e-07,C
meStudying: AP English Lit,1.0,0.006465549571713596,9.000000009000001e-09,C
DC N COMPANY ENTERTAINMENT RADIO!,1.0,0.021916862933349334,9.9000000099e-08,C
AP Art History Flashcards,1.0,0.9599965997109754,9.000000009000001e-09,C
AQ Ria Retail,1.0,0.5199591965317052,4.9000000049000004e-08,C
Wowkwis aq Ka'qaquj,1.0,0.4899566463149368,9.000000009000001e-09,C
Santa Fe Thrive,1.0,0.0829220483741118,4.9000000049000004e-08,C
"Superheroes, Marvel, DC, Comics, TV, Movies News",1.0,0.11992519364145952,4.999000004999e-06,C
Ríos de Fe,1.0,0.14992774385822796,9.99000000999e-07,C
DB Pickles,1.0,0.1399268937859718,9.9000000099e-08,C
Speeding Joyride & Car Meet App,1.0,0.2499362445807894,9.9000000099e-08,C
CT Brain Interpretation,1.0,0.28993964486981394,4.99000000499e-07,C
Online Girls Chat Group,1.0,0.049919243135666536,9.9000000099e-08,C
